"","time_window","goal_func","num_maxM_days","memory","num_maxS_days","total_equivalent","k"
"560",15,0.4,0,5,0,"MaxS","5"
"561",15,0.45,0,5,249,"MaxS","5"
"562",15,0.5,24,5,225,"MaxM","5"
"563",15,0.55,124,5,125,"MaxM","5"
"564",15,0.6,123,5,126,"MaxM","5"
"565",15,0.65,122,5,127,"MaxM","5"
"566",15,0.7,0,5,0,"MaxS","5"
"567",15,0.75,122,5,127,"MaxM","5"
"568",15,0.8,0,5,0,"MaxS","5"
"569",15,0.9,0,5,0,"MaxS","5"
"570",15,1,249,5,0,"MaxM","5"
"571",20,0,0,5,249,"MaxS","5"
"572",20,0.1,0,5,0,"MaxS","5"
"573",20,0.2,0,5,0,"MaxS","5"
"574",20,0.3,0,5,0,"MaxS","5"
"575",20,0.4,0,5,0,"MaxS","5"
"576",20,0.45,1,5,248,"MaxS","5"
"577",20,0.5,41,5,208,"MaxM","5"
"578",20,0.55,153,5,96,"MaxM","5"
"579",20,0.6,158,5,91,"MaxM","5"
